"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2021/08/20","00:00","0.419","-","0.576"
"2021/08/20","00:06","0.388","-","0.556"
"2021/08/20","00:12","0.357","-","0.528"
"2021/08/20","00:18","0.325","-","0.493"
"2021/08/20","00:24","0.292","-","0.473"
"2021/08/20","00:30","0.259","-","0.425"
"2021/08/20","00:36","0.225","-","0.393"
"2021/08/20","00:42","0.191","-","0.363"
"2021/08/20","00:48","0.157","-","0.331"
"2021/08/20","00:54","0.123","-","0.294"
"2021/08/20","01:00","0.09","-","0.26"
"2021/08/20","01:06","0.056","-","0.228"
"2021/08/20","01:12","0.023","-","0.194"
"2021/08/20","01:18","-0.01","-","0.157"
"2021/08/20","01:24","-0.042","-","0.114"
"2021/08/20","01:30","-0.073","-","0.087"
"2021/08/20","01:36","-0.103","-","0.052"
"2021/08/20","01:42","-0.133","-","0.022"
"2021/08/20","01:48","-0.162","-","-0.013"
"2021/08/20","01:54","-0.189","-","-0.051"
"2021/08/20","02:00","-0.215","-","-0.071"
"2021/08/20","02:06","-0.241","-","-0.106"
"2021/08/20","02:12","-0.265","-","-0.127"
"2021/08/20","02:18","-0.288","-","-0.158"
"2021/08/20","02:24","-0.31","-","-0.183"
"2021/08/20","02:30","-0.33","-","-0.195"
"2021/08/20","02:36","-0.349","-","-0.221"
"2021/08/20","02:42","-0.368","-","-0.238"
"2021/08/20","02:48","-0.385","-","-0.267"
"2021/08/20","02:54","-0.4","-","-0.283"
"2021/08/20","03:00","-0.415","-","-0.292"
"2021/08/20","03:06","-0.429","-","-0.307"
"2021/08/20","03:12","-0.442","-","-0.313"
"2021/08/20","03:18","-0.453","-","-0.324"
"2021/08/20","03:24","-0.464","-","-0.329"
"2021/08/20","03:30","-0.474","-","-0.348"
"2021/08/20","03:36","-0.483","-","-0.347"
"2021/08/20","03:42","-0.491","-","-0.362"
"2021/08/20","03:48","-0.499","-","-0.368"
"2021/08/20","03:54","-0.505","-","-0.365"
"2021/08/20","04:00","-0.511","-","-0.376"
"2021/08/20","04:06","-0.516","-","-0.381"
"2021/08/20","04:12","-0.521","-","-0.378"
"2021/08/20","04:18","-0.524","-","-0.374"
"2021/08/20","04:24","-0.527","-","-0.385"
"2021/08/20","04:30","-0.529","-","-0.379"
"2021/08/20","04:36","-0.531","-","-0.382"
"2021/08/20","04:42","-0.531","-","-0.395"
"2021/08/20","04:48","-0.531","-","-0.392"
"2021/08/20","04:54","-0.531","-","-0.4"
"2021/08/20","05:00","-0.529","-","-0.392"
"2021/08/20","05:06","-0.527","-","-0.402"
"2021/08/20","05:12","-0.523","-","-0.395"
"2021/08/20","05:18","-0.519","-","-0.395"
"2021/08/20","05:24","-0.514","-","-0.396"
"2021/08/20","05:30","-0.508","-","-0.397"
"2021/08/20","05:36","-0.501","-","-0.396"
"2021/08/20","05:42","-0.493","-","-0.382"
"2021/08/20","05:48","-0.484","-","-0.368"
"2021/08/20","05:54","-0.474","-","-0.369"
"2021/08/20","06:00","-0.463","-","-0.355"
"2021/08/20","06:06","-0.451","-","-0.351"
"2021/08/20","06:12","-0.438","-","-0.336"
"2021/08/20","06:18","-0.423","-","-0.331"
"2021/08/20","06:24","-0.408","-","-0.303"
"2021/08/20","06:30","-0.392","-","-0.303"
"2021/08/20","06:36","-0.374","-","-0.278"
"2021/08/20","06:42","-0.355","-","-0.251"
"2021/08/20","06:48","-0.336","-","-0.247"
"2021/08/20","06:54","-0.315","-","-0.216"
"2021/08/20","07:00","-0.293","-","-0.197"
"2021/08/20","07:06","-0.27","-","-0.181"
"2021/08/20","07:12","-0.246","-","-0.151"
"2021/08/20","07:18","-0.221","-","-0.124"
"2021/08/20","07:24","-0.196","-","-0.1"
"2021/08/20","07:30","-0.169","-","-0.085"
"2021/08/20","07:36","-0.142","-","-0.05"
"2021/08/20","07:42","-0.114","-","-0.027"
"2021/08/20","07:48","-0.085","-","0.008"
"2021/08/20","07:54","-0.056","-","0.05"
"2021/08/20","08:00","-0.026","-","0.064"
"2021/08/20","08:06","0.004","-","0.111"
"2021/08/20","08:12","0.034","-","0.141"
"2021/08/20","08:18","0.064","-","0.16"
"2021/08/20","08:24","0.095","-","0.2"
"2021/08/20","08:30","0.125","-","0.239"
"2021/08/20","08:36","0.155","-","0.279"
